Jour,Heure,Donnée,Valeur
2014-12-09,21:01:18,interieur,24
2014-12-09,21:01:20,interieur,24
2014-12-09,21:01:23,interieur,24
2014-12-09,21:01:24,interieur,24.1
2014-12-09,21:01:26,interieur,24.1
2014-12-09,21:01:28,interieur,24
2014-12-09,21:01:30,interieur,24.1
2014-12-09,21:01:33,interieur,24.1
2014-12-09,21:01:35,interieur,24.1
2014-12-09,21:01:37,interieur,24.1
2014-12-09,21:01:39,interieur,24.1
2014-12-09,21:01:41,interieur,24.1
2014-12-09,21:01:43,interieur,24.1
2014-12-09,21:01:45,interieur,24.1
2014-12-09,21:01:47,interieur,24.1
2014-12-09,21:01:49,interieur,24.1
2014-12-09,21:01:51,interieur,24.1
2014-12-09,21:01:53,interieur,24.1
2014-12-09,21:01:55,interieur,24.1
2014-12-09,21:01:57,interieur,24.1
2014-12-09,21:01:59,interieur,24.1
2014-12-09,21:02:01,interieur,24.1
2014-12-09,21:02:03,interieur,24.1
2014-12-09,21:02:05,interieur,24.1
2014-12-09,21:02:07,interieur,24.1
2014-12-09,21:02:09,interieur,24.1
2014-12-09,21:02:11,interieur,24.1
2014-12-09,21:02:14,interieur,24.1
2014-12-09,21:02:15,interieur,24.1
2014-12-09,21:02:17,interieur,24.1
2014-12-09,21:02:19,interieur,24.1
2014-12-09,21:02:21,interieur,24.1
2014-12-09,21:02:23,interieur,24.1
2014-12-09,21:02:25,interieur,24.1
2014-12-09,21:02:27,interieur,24.1
2014-12-09,21:02:29,interieur,24.1
2014-12-09,21:02:31,interieur,24.1
2014-12-09,21:02:33,interieur,24.1
2014-12-09,21:02:35,interieur,24.1
2014-12-09,21:02:37,interieur,24.1
2014-12-09,21:02:39,interieur,24.1
2014-12-09,21:02:41,interieur,24.2
2014-12-09,21:02:43,interieur,24.1
2014-12-09,21:02:45,interieur,24.1
2014-12-09,21:02:47,interieur,24.2
2014-12-09,21:02:49,interieur,24.2
2014-12-09,21:02:51,interieur,24.2
2014-12-09,21:02:54,interieur,24.2
2014-12-09,21:02:55,interieur,24.2
2014-12-09,21:02:57,interieur,24.2
2014-12-09,21:02:59,interieur,24.2
2014-12-09,21:03:01,interieur,24.2
2014-12-09,21:03:04,interieur,24.2
2014-12-09,21:03:06,interieur,24.2
2014-12-09,21:03:08,interieur,24.2
2014-12-09,21:03:10,interieur,24.2
2014-12-09,21:03:12,interieur,24.2
2014-12-09,21:03:14,interieur,24.2
2014-12-09,21:03:16,interieur,24.2
2014-12-09,21:03:18,interieur,24.2
2014-12-09,21:03:20,interieur,24.2
2014-12-09,21:03:22,interieur,24.2
2014-12-09,21:03:24,interieur,24.2
2014-12-09,21:03:26,interieur,24.2
2014-12-09,21:03:28,interieur,24.2
2014-12-09,21:03:30,interieur,24.2
2014-12-09,21:03:32,interieur,24.2
2014-12-09,21:03:34,interieur,24.2
2014-12-09,21:03:36,interieur,24.2
2014-12-09,21:03:38,interieur,24.2
2014-12-09,21:03:40,interieur,24.2
2014-12-09,21:03:42,interieur,24.2
2014-12-09,21:03:44,interieur,24.2
2014-12-09,21:03:46,interieur,24.2
2014-12-09,21:03:48,interieur,24.2
2014-12-09,21:03:50,interieur,24.2
